,model,region,scenario,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
17,AIM/CGE,World,ssp370,kt C8F18 / yr,Emissions|C8F18,0.3145,0.2778,0.2226,0.2043,0.1676,0.1308,0.1309,0.0941,0.0757,0.0757,0.0758,0.0758,0.0758,0.0758,0.0915,0.1014,0.127446151,0.083286762,0.054906296,0.036944335,0.025468224,0.018615171,0.014486136,0.008320116,0.008127991
18,AIM/CGE,World,ssp370,kt CCl4 / yr,Emissions|CCl4,72.6514,70.657,70.4567,69.839,66.9986,63.1956,60.0481,57.2572,56.8377,55.3553,56.0909,57.5659,59.4649,62.5129,53.5475,47.5476,34.1049418,17.84938821,9.217883899,4.695633627,2.359546552,1.201856227,0.62021045,0.323567914,0.16951684
19,AIM/CGE,World,ssp370,kt CF4 / yr,Emissions|CF4,9.9232,10.5933,11.9822,12.5799,12.1949,11.0608,10.2173,9.3272,9.0353,9.6855,10.4895,11.0568,9.661,8.3027,9.8735,10.8699,12.46245477,9.807704721,7.991096952,6.702770276,5.742722871,5.122059289,4.717821509,4.243470864,4.145482307
20,AIM/CGE,World,ssp370,kt CFC11 / yr,Emissions|CFC11,76.3301,68.2715,63.4848,62.278,60.9668,60.3312,63.0372,64.7375,63.0609,60.0651,58.8601,62.4156,70.2352,75.7408,54.9365,43.5734,34.3151693,21.64923988,13.47726487,8.275961692,5.012981942,3.078113508,1.914790572,1.204160567,0.762309169
21,AIM/CGE,World,ssp370,kt CFC113 / yr,Emissions|CFC113,9.4044,5.9591,3.1514,5.7693,9.2168,4.6297,0.6451,4.5089,8.3395,5.7877,4.407,4.6238,5.4529,6.5168,2.8024,0.8742,0.401689938,0.086325731,0.018302099,0.003789163,0.000803414,0.000151961,0,0,0
22,AIM/CGE,World,ssp370,kt CFC114 / yr,Emissions|CFC114,3.9867,3.2771,2.4206,1.7336,1.473,1.814,1.751,1.5546,1.9164,1.6755,1.4644,2.0468,2.052,1.9409,1.6696,1.6696,0.877462839,0.246346477,0.068382468,0.018687461,0.005061508,0.001367645,0.000291179,0.000141019,0
23,AIM/CGE,World,ssp370,kt CFC115 / yr,Emissions|CFC115,2.3476,1.16,0.9501,0.7451,0.7567,0.5807,0.5871,0.7828,0.457,0.3835,0.659,0.856,0.7169,0.6133,1.1149,1.6714,1.354115352,0.903998501,0.595865344,0.387355758,0.248335265,0.161382136,0.1062074,0.070650479,0.047252561
24,AIM/CGE,World,ssp370,kt CFC12 / yr,Emissions|CFC12,122.766,111.641,101.905,97.8448,87.6541,71.9566,65.5753,61.6238,57.1085,54.7882,52.2712,52.1207,53.3588,54.8199,28.9612,14.6096,5.864379897,0.961264086,0.155431256,0.024801792,0.003936729,0.000607842,7.28E-05,0,0.008265754
25,AIM/CGE,World,ssp370,kt CH2Cl2 / yr,Emissions|CH2Cl2,732.306,777.075,778.011,792.154,815.942,841.287,906.999,941.755,995.466,1055.05,1048.86,1156.87,1284.99,1324.27,1328.6,1267.98,1395.515804,1190.411894,1109.990419,1088.195827,1025.42138,1006.16899,1034.892474,1082.764429,1147.823938
26,AIM/CGE,World,ssp370,kt CH3Br / yr,Emissions|CH3Br,165.259,165.599,161.141,158.928,156.217,154.123,152.415,147.289,144.473,144.243,142.674,140.422,136.715,133.393,133.679,133.823,138.8107508,123.3935637,111.2603704,100.9596538,91.64141696,85.12451789,80.61134366,76.45199789,74.68659847
