"","Year","meanprice"
"1",2013,3.01467451224923
"2",2014,4.10105604535848
"3",2015,3.68248181452496
"4",2016,2.95880889451799
"5",2017,3.81710174749254
"6",2018,7.24812838106744
"7",2019,8.53817707230367
"8",2020,7.85085522956809
